,Sentiment,Tweet
0,Positive,PipsqueakTV Omg Im glad worked Hoping rest works FWIW one sisters tested positive covid Jan rest family didnt get heres hoping
1,Neutral,New COVID19 variant called Lambda
2,Negative,621335 Americans killed Covid19 July6th 392428 Americans killed Covid19 January20 500000 Americans killed Covid19 TooSad
3,Positive,VagrantAI DogOnTheRoof frescos4U toronai22 AOC calls Pelosi Momma Bear hammered every day months Jimmy saying Biden better Trump Biden clearly better COVID help Trump win nice positive PR Trump supporters Tucker Boogaloo hes hook
4,Negative,AntibioticDoc Yes vaccines work also never tool utilized evolving COVID19 unvaccinated children 12 remains immensely vulnerable COVID19 earth would okay 78 kids admitted hospitals get long Covid
5,Negative,Sad humans Earth Maybe COVID19 way mother nature wants yeet humans COVID19 one mother natures white blood cells trying fight human virus pandemic planet
6,Neutral,JustinTrudeau BorisJohnson POTUS jacindaardern wonder flights India causing covid cases go sky high
7,Negative,jicray ysfI0 25 leavings players wages unlike regulations France eased due COVID tell Messi
8,Positive,KendallCarter98 claymorespears Nah dont covid lol made lab Im wondering vaccine even works
9,Negative,2 Burlington residents dead COVID19 Halton reports nearly 30 cases weekend via InsideHalton
10,Positive,TorontoStar Rose Webster GetMyGist chrissaccoccia1 demonstrated many times ALWAYS Constitutional rights March 13 2020 COVID19 HCID unanimous decision Succession planner JUSTSAYNO NoVaccinePassportsAnywhere NoCovidVax
11,Negative,jicray ysfI0 Messi generates nearly third Barcas income almost hit billion precovid income pumped specific country Due covid numbers went Without money pumped magically external source
12,Positive,richardm56 may also suggest stop Dr Hillary tv media needs start changing message positive one doesnt help helping people get Covid PTSD
13,Negative,freemankw JohnMayLives4 CTVNews RWMaloneMD came report EIGHTY NINE yearold woman passed away antivaxxers WANT died COVID argument absurd youll excuse Im walking argument really errands run
14,Neutral,AnnieClaireBO CTVNews arrived June 29 asked CBP PHAC border would allowed come quarantine July 5 know assumed answer called spoken CBP PHAC telehealth COVID19 Program daily since
15,Neutral,zinakw DrVivianS BogochIsaac vaccines 100 effective seniors immunocompromised likely even less effective HC workers usually mandated get flu shot also mandatory get vaccinated COVID
16,Positive,definitelyguru DrVivianS BogochIsaac Thats incorrect seniors vaccinated healthy feel mild Covid symptoms unless neglected dehydrated LTC issue investigated
17,Neutral,1SportsGenius TorontoStar Nope 5 requires covid testing prior travel arrival
18,Neutral,Midnightrider98 cco8226 Aint election like Covid injection
19,Negative,CarlyeJensen DrVivianS BogochIsaac Thats disgusting uneducated analogy Dr Anyone vaccinated carry virus system immune system person either cannot fight seniors r vaccinated shouldnt getting sick amp even dying Covid
20,Negative,zinakw DrVivianS BogochIsaac takes 1 person Working healthcare mean contact people may increased risk getting COVID increased severity disease youre vaccinated put risk simple
21,Neutral,Boris Johnson end almost Covid restrictions England July 19 via FT COVID19 cdnpoli onpoli topoli
22,Neutral,COVID19 covidtokyo Tokyo2020 TokyoOlympics Olympics2021 Olympics
23,Neutral,definitelyguru DrVivianS BogochIsaac actually nothing anything work healthcare many vaccinated none clients Covid positive sick particular breakout 1 TLC norm investigation needed figure happened neglect
24,Negative,Official 2021 AustralianGP cancelled due restrictions relating COVID19 F1
25,Neutral,anonymous rightwing Covid quasiexpert brigade Trumpishly flexible cite international data explicitly contradict theyll say local data important Cite local data explicitly contradict theyll refer back international data
26,Neutral,Family 4 3 doubly vaccinated one unvaccinated child go holiday 4 get COVID19 possibly gave countless others way Remember StayHomeStaySafe also StayHomeSaveLives
27,Positive,chrissaccoccia1 Rose Webster GetMyGist Thank much Chris effective pointing wrong humans races amp especially children proud strong voice Canada COVID19asdeadly narrative JUSTSAYNO
28,Negative,fuck covid19 long get see body beach
29,Neutral,get back Hawaii gotten eight COVID tests since February never want swab nose
30,Negative,Wait even Im fully vaccinated whole family fully vaxxed still get covid wont put hospital still pass dad could still kill hes old weak understanding
31,Neutral,audacity2speak Thank clearly arent posting like COVID19 accordingly concern tweet doesnt apply Im alone def talking getting necessities tweet
32,Negative,would anyone get vaccine proved doesnt work Vaccines supposed make u immune Thats vaccines covid vaccine inject untested crap u still get thing supposed vaccinated moronic
33,Positive,goodsigil enjoy covid vibes
34,Neutral,covid stopped seeing newborn nephew hes man
35,Positive,Mitchapalooza80 Ed99214618 DrEricDing Study says mRNA COVID vaccines effective Lambda variant
36,Neutral,Covid19 Velocity Update July 5
37,Negative,sandytoes361 understand Covid poor insensitive handling Trump co devastating Thank God President Biden taken reins sped vaccinations get jabbed many lives lost irreparably changed
38,Neutral,Indias Covid doctors demand action attacks BBC News
39,Neutral,Get COVIDAlert App AppStore iPhone 5s 6 6 Plus GooglePlay Learn COVID19
40,Neutral,literally private gym cant even use cuz covid like hello canada open gyms get fat look hideous
41,Negative,Restaurants bars find suppliers inventories running dry restaurants bars eager expand table service COVID restrictions ease running yet another issue suppliers running openontario
42,Neutral,sore throat covid neighbor chemical bonfire
43,Neutral,JustinTrudeau like covid
44,Positive,even way Twitter gay man without posting shirtless photos clout bodys COVID construction help
45,Negative,Jul 05 covid19 Canada 5789 active 346 56 1417678 ive 7070 1385498 resolved 10481 26370 deaths 80 Mortality 186 Resolved 9773 9770 Vaxs 39781602k 488M Initial 690 Fully 366 pop
46,Neutral,patient guys everything open Covid situation remains control
47,Negative,Level education appears mean nothing regards understanding Covid OnPoli
48,Neutral,cikgu cakap kalau takda covidcikgu nak bawak pergi studio animation
49,Neutral,TheTorontoSun 1 death offrom Covid 14 million people province increase OD suicides may already surpassed covid related deaths long time ago much missed surgeries diagnosis killing
50,Neutral,think Covid really IQ test people dont follow science take proper precautions flunk die delta variant transmittable deadly weed MAGA crowd even efficiently original alpha variant
51,Neutral,Queen amp David Bowie Pressure Remastered Audio 2011 via YouTube COVID19 felt like
52,Neutral,22Different individuals different perspectives appropriate approach one way Fix broken healthcare system take holistic approach medicine COVID facing holistichealth
53,Neutral,mike72394 Celestia18 Ocheryllynne puddyellow88 MamaBear1930 RepThomasMassie Unsurprisingly make claims present supporting evidence reject evidence contrary everybody else vaccines reduce covid19 transmission households 4050
54,Positive,Sunday July 11 2021 Finding Joy Time Covid Debbie Kassirer Zoom 89 pm EST Computer Meeting ID 891 3284 5033 Passcode 474763 Phone Canada 1 647 558 0588 Outside Photo Priscilla Du Preez Unsplash
55,Positive,Sunday July 11 2021 Finding Joy Time Covid Debbie Kassirer Zoom 89 pm EST Computer Meeting ID 891 3284 5033 Passcode 474763 Phone Canada 1 647 558 0588 Outside Photo Priscilla Du Preez Unsplash
56,Neutral,brucearthur robfoot Im impressed weve gotten sports writer quotes retiree level fear deep Ill sad real fallout Covid one side aisle thinks journalism profession
57,Positive,CAdamskiTrib man state 12 million Covid deaths almost many cases country 38 million public health advice
58,Positive,KamilKaramali randyhillier Ok Chris Sky wear Randys suspenders Randy wear Chris Skys veneers go onpoli cdnpoli COVID
59,Negative,wackyfarmer whitevandan1 beatraxa LBC thats bad thing youd rather Covid
60,Neutral,growing number countries territories around world forcing people often specific sectors vaccinated COVID19
61,Neutral,Friend Covid wrote book prayers Covid wrote book swears COVID COVID19 coronavirus
62,Neutral,theres also risk myocarditis covid idea occurrence
